jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q278270,Keyboardmania,http://commons.wikimedia.org/wiki/Special:FilePath/Keyboardmania%20Cabinet.jpg
http://www.wikidata.org/entity/Q279446,Portal 2,http://commons.wikimedia.org/wiki/Special:FilePath/Portal%202%20pax%20prime%202010.jpg
http://www.wikidata.org/entity/Q283878,Halo : Reach,http://commons.wikimedia.org/wiki/Special:FilePath/Halo%20Reach-e3%202009%20trailer.jpg
http://www.wikidata.org/entity/Q289109,Radar Rat Race,http://commons.wikimedia.org/wiki/Special:FilePath/CBM64CartridgeRadarRatRace.JPG
http://www.wikidata.org/entity/Q307397,gbrainy,http://commons.wikimedia.org/wiki/Special:FilePath/Gbrainy%20calculation.png
http://www.wikidata.org/entity/Q307441,Osu!,http://commons.wikimedia.org/wiki/Special:FilePath/Osu%21lazer%20screenshot.png
http://www.wikidata.org/entity/Q327602,Ikariam,http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20Advisors.jpg
http://www.wikidata.org/entity/Q336177,EVE Online,http://commons.wikimedia.org/wiki/Special:FilePath/EVE%20Online%20-%20Caldari%20Freighters.jpg
http://www.wikidata.org/entity/Q349375,Fortnite,http://commons.wikimedia.org/wiki/Special:FilePath/Fortnite%20cosplayers%20at%20Gamescom%202017%20%283%29.jpg
http://www.wikidata.org/entity/Q349413,Homefront,http://commons.wikimedia.org/wiki/Special:FilePath/E3%202010%20Homefront%20booth.jpg
http://www.wikidata.org/entity/Q361931,Noctis,http://commons.wikimedia.org/wiki/Special:FilePath/Noctis%20Screenshot.png
http://www.wikidata.org/entity/Q374820,Darius,http://commons.wikimedia.org/wiki/Special:FilePath/DARIUS.jpg
http://www.wikidata.org/entity/Q379915,Adventure,http://commons.wikimedia.org/wiki/Special:FilePath/Atari%20Adventure%20Easter%20Egg%20on%20Atari%20%28Jakks%20Pacific%29%20Port.jpg
http://www.wikidata.org/entity/Q386386,Galaxy Game,http://commons.wikimedia.org/wiki/Special:FilePath/Galaxy%20Game%20%281971%29%20-%20Title%20screen.png
http://www.wikidata.org/entity/Q386632,Warzone 2100,http://commons.wikimedia.org/wiki/Special:FilePath/Warzone%202100%20-%20base.jpg
http://www.wikidata.org/entity/Q390291,Donkey Kong 3,http://commons.wikimedia.org/wiki/Special:FilePath/Game%26watch-donkey-kong-3.jpg
http://www.wikidata.org/entity/Q405497,Air,http://commons.wikimedia.org/wiki/Special:FilePath/Air%20%28visual%20novel%29%20art%20on%20a%20black%20car.jpg
http://www.wikidata.org/entity/Q407005,Laser Squad,http://commons.wikimedia.org/wiki/Special:FilePath/ZX%20Laser%20Squad.png
http://www.wikidata.org/entity/Q471974,Need for Speed: Undercover,http://commons.wikimedia.org/wiki/Special:FilePath/Igromir%202008%20%283012936938%29.jpg
http://www.wikidata.org/entity/Q474573,Final Fantasy IX,http://commons.wikimedia.org/wiki/Special:FilePath/Cosplay%20de%20Zidane%20Tribal.jpg
http://www.wikidata.org/entity/Q481741,Ace Combat 6: Fires of Liberation,http://commons.wikimedia.org/wiki/Special:FilePath/Ace%20Combat%206%20-%20Ace%20Edge.jpg
http://www.wikidata.org/entity/Q486410,Anarchy Online,http://commons.wikimedia.org/wiki/Special:FilePath/Anarchy%20Online%20Land%20Control%20Area.png
